"sample","file_name","match_val","material_class","spectrum_identity","library_id"
"S10","SFEI_01_S10_074_FRA_ORA.spa",0.683740245864582,"organic matter","soil","6a97b3d9dc75070af1321da2e3454a6c"
"S10","SFEI_01_S10_075_FRA_WHT.spa",0.841686730251996,"polystyrenes (polyphenylethylenes, -methylstyrene)","ps","5d469b90b72b9214b72f87ee5fa9c161"
"S10","SFEI_01_S10_076_FRA_YLO.spa",0.707617171563869,"mineral","cacl_solid_loudwolf","4f9047c4bf060796049244c67d0cc890"
"S10","SFEI_01_S10_077_FRA_WHT.spa",0.737024593330811,"mineral","aragonite","9f07c9148e3bee8e4325743411ee0621"
"S10","SFEI_01_S10_078_FRA_YLO.spa",0.796723595766033,"poly(propylene)","pp","2c2effd6f62cec28c3edc0816456b1c2"
"S10","SFEI_01_S10_079_FRA_YLO.spa",0.801773800106184,"poly(ethylene)","pe","fa46b320e86df54857aa0bb4d2904af5"
"S10","SFEI_01_S10_080_FLM_CLR.spa",0.844104767645239,"poly(propylene)","pp","72da53b59b41ab119204ac71b5c4ff07"
"S10","SFEI_01_S10_081_FRA_GRY.spa",0.532816862153676,"poly(ethylene)","high-density polyethylene","b3bbeab26509e46b48e3eb2d8535bd69"
"S10","SFEI_01_S10_082_FRA_WHT.spa",0.464180054376252,"mineral","aragonite","9f07c9148e3bee8e4325743411ee0621"
"S10","SFEI_01_S10_083_FRA_GRY.spa",0.507694106340031,"mineral","cacl_solid_loudwolf","f46b9d6adc6c6f4c0689a7c9f2a3e023"
"S01","SFEI_01_S01_055_FRA_YLO.spa",0.727150713467007,"mineral","soil","c76b58d39b45d4084e8a5c9af2c8a96c"
"S10","SFEI_01_S10_084_CONG_GRY.spa",0.621123158629096,"poly(ethylene)","pe","6480e8146e693880562fb08a84fe5bd0"
"S10","SFEI_01_S10_085_FRA_GRY.spa",0.699349914689418,"poly(ethylene)","pe","2d16a894aeabe0a9fbd0429e258d98ca"
"S10","SFEI_01_S10_086_FLM_GRY.spa",0.563655340233159,"poly(ethylene)","pe","d37c531229a74e54c2f2c3096bf8b637"
"S10","SFEI_01_S10_087_CONG_GRY.spa",0.571379093838009,"poly(ethylene)","pe","2c91ca8fff726540f2568d744b0acceb"
"S10","SFEI_01_S10_088_FRA_GRY.spa",0.769463334385901,"poly(ethylene)","pe","6eadc36b3e9f040c2b11763aa082d2b1"
"S10","SFEI_01_S10_089_FRA_WHT.spa",0.639458198227696,"polystyrenes (polyphenylethylenes, -methylstyrene)","ps","16ea6dbee23234518a127bf64a337849"
"S10","SFEI_01_S10_090_FRA_WHT.spa",0.764371640989921,"polyurethanes (isocyanates)","paint","e051dd8b1817eb0e24db8a4e24724468"
"S10","SFEI_01_S10_091_FRA_WHT.spa",0.670610175971841,"mineral","cacl_solid_loudwolf","f46b9d6adc6c6f4c0689a7c9f2a3e023"
"S10","SFEI_01_S10_092_FRA_GRN.spa",0.637250365744221,"mineral","cacl_solid_loudwolf","f46b9d6adc6c6f4c0689a7c9f2a3e023"
"S10","SFEI_01_S10_093_FRA_YLO.spa",0.679001510929179,"mineral","cacl_solid_loudwolf","f46b9d6adc6c6f4c0689a7c9f2a3e023"
"S01","SFEI_01_S01_056_FRA_RED.spa",0.541144118323603,"poly(ethylene)","plastic","ac43e1bc0aa01d614029f42e8a08d403"
"S10","SFEI_01_S10_094_FRA_BLK.spa",0.642618512713975,"mineral","cacl_solid_loudwolf","f46b9d6adc6c6f4c0689a7c9f2a3e023"
"S10","SFEI_01_S10_095_FRA_ORA.spa",0.691761477641878,"mineral","cacl_solid_loudwolf","4f9047c4bf060796049244c67d0cc890"
"S10","SFEI_01_S10_096_CONG_GRY.spa",0.721321695131313,"poly(ethylene)","pe","56ea8a186cbc67e2fe5357a27c9796b3"
"S11","SFEI_01_S11_002_EMPTY_redo.spa",0.506266744717973,"mineral","muscovite","4959945f4582976af3c45cd3304d9ec8"
"S11","SFEI_01_S11_002_EMPTY.spa",0.596477887794546,"mineral","sphalerite","53af6cac93cae53ab8f82adf3a65bbba"
"S11","SFEI_01_S11_003_BlueBead.spa",0.61014873352639,"poly(ethylene)","hdpe.1","9c9efc36bbf0bf770f25b5cb33105ae6"
"S11","SFEI_01_S11_004_Pet1_redo.spa",0.85465977487293,"poly(esters/ethers/diglycidylethers/terephthalates)s","pet","670b54c9eef0a23a390beff15c9e3b8b"
"S11","SFEI_01_S11_004_Pet1.spa",0.59046993145513,"mineral","calcite","67bbc38db2e497f84f6b50be2bb545da"
"S11","SFEI_01_S11_005_FRA_YLO.spa",0.550891783200833,"organic matter","fibre_cocoanut","78207d4d251b45537a8e3db5c6af897a"
"S11","SFEI_01_S11_006_FRA_YLO.spa",0.591046887414913,"poly(ethylene)","rubber","cd2896269eca61aaaa77475843cb5338"
"REF_20241008103854_000.spa","REF_20241008103854_000.spa",0.500319863636447,"organic matter","coal-kbr","dd89f8436d3d9a7cd61d08c8223946fd"
"S01","SFEI_01_S01_057_FRA_ORA.spa",0.707952608015603,"mineral","soil","f51a4dd2afe598b7f941af62fdc2734b"
"S11","SFEI_01_S11_007_FRA_YLO.spa",0.495343420779211,"poly(ethylene)","rubber","cd2896269eca61aaaa77475843cb5338"
"S11","SFEI_01_S11_008_FRA_YLO.spa",0.547843183985628,"mineral","amber","ee40aadd21078d50eb81cc7b832d25ab"
"S11","SFEI_01_S11_009_FRA_YLO.spa",0.497767533815824,"poly(ethylene)","rubber","cd2896269eca61aaaa77475843cb5338"
"S11","SFEI_01_S11_010_FRA_YLO.spa",0.514528544131436,"mineral","hornblende","e502348ab37b8d419368edfb441f7762"
"S11","SFEI_01_S11_011_FRA_YLO.spa",0.614717895103257,"polyurethanes (isocyanates)","poly(4_4'_dipropoxy_2_2'_diphenyl_propane_fumarate)","89d06665ae7dd85aa8164a23cdd839df"
"S11","SFEI_01_S11_012_FRA_YLO.spa",0.542841302165628,"mineral","bauxite","f66ab8a82288e85111046446e2c75da1"
